id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
751997,CAN FELIP - Penthouse (18th c.),3387407,Enric & Gemma,,Palafrugell,41.91798,3.16419,Entire home/apt,121,2,20,12/8/21,0.29,12,350,5,HUTG-016218
752035,CAN TARONGETA - Sunny Apartment 1-1,3387407,Enric & Gemma,,Palafrugell,41.91801,3.17085,Entire home/apt,110,2,15,10/31/21,0.14,12,357,5,HUTG-008974
753070,"Rustic ""Mas"" farmhouse Costa Brava | Dalí 4 Pax",3961251,Ana,,Vilanant,42.25835,2.87583,Entire home/apt,130,2,17,12/8/19,0.16,3,300,0,
753079,Bright suite with private bathroom HUTG-015653,3914060,Shruti Home,,Corçà,41.98816,3.01684,Private room,75,5,37,10/19/19,0.35,2,363,0,HUTG-015653
753604,"""La Talaia"" Holiday House-BBQ-WiFi-Pool",3964191,Oscar,,Lloret de Mar,41.7173,2.86409,Entire home/apt,98,3,76,9/14/21,0.75,5,296,3,
755927,Room Oliva - Casa Pati de l¬¥Albera,3680160,Roberto,,Sant Climent Sescebes,42.36958,2.9803,Private room,49,2,9,8/27/21,0.09,6,358,1,PG000794
756145,Room Abeto - Casa Pati de l¬¥Albera,3680160,Roberto,,Sant Climent Sescebes,42.36958,2.9803,Private room,53,2,11,8/7/18,0.11,6,358,0,PG000794
756179,Room Pomelo - Casa Pati de l¬¥Albera,3680160,Roberto,,Sant Climent Sescebes,42.36958,2.9803,Private room,53,2,6,8/16/16,0.07,6,358,0,PG000794
756944,Room Uvas - Casa Pati de l¬¥Albera,3680160,Roberto,,Sant Climent Sescebes,42.36958,2.9803,Private room,79,2,15,8/21/19,0.15,6,358,0,PG000794
766763,Modern Villa with spectacular view and a pool,4043268,Fabien,,Begur,41.96041,3.22659,Entire home/apt,379,5,15,10/23/21,0.22,2,278,2,HUTG-043628
771850,Luxurious Villa in La Costa Brava,4072871,Marta,,Castell-Platja d'Aro,41.79449,3.05269,Entire home/apt,350,30,0,,,1,365,0,
774371,√ÅTICO DUPLEX a 20 metros de la playa,4085536,Jordi,,Calonge,41.84428,3.10006,Entire home/apt,60,6,15,9/13/21,0.25,2,100,4,HUTG-014853
784892,La Cerdanya. Queixans,4073860,Silvia,,Fontanals de Cerdanya,42.39611,1.91888,Entire home/apt,80,90,1,9/11/15,0.01,1,245,0,
786799,Holiday beach apartment in Blanes,4147847,Anthony,,Blanes,41.66312,2.78154,Entire home/apt,47,3,47,12/11/21,0.47,1,262,6,HUTG-015792
